dataset,channels,participants,trials,model,acc_mean,acc_std,macro_f1
eeg_dataset_emotiv.csv,all+subjnorm,10,813,"SVM-RBF (supervised, 100%)",0.646,0.099,0.645
eeg_dataset_emotiv.csv,all+subjnorm,10,813,Logistic Regression,0.641,0.094,0.64
eeg_dataset_emotiv.csv,all+subjnorm,10,813,MLP (64),0.621,0.061,0.619
eeg_dataset_emotiv.csv,all+subjnorm,10,813,Random Forest,0.608,0.11,0.607
eeg_dataset_emotiv.csv,all+subjnorm,10,813,XGBoost,0.607,0.081,0.605
eeg_dataset_emotiv.csv,all+subjnorm,10,813,Self-Training SVM-RBF (20% labels),0.556,0.083,0.554
eeg_dataset_emotiv.csv,all+subjnorm,10,813,Decision Tree,0.501,0.064,0.499
eeg_dataset_emotiv.csv,motor,10,813,Shrinkage-LDA,0.566,0.04,0.528
eeg_dataset_emotiv.csv,motor,10,813,Logistic Regression,0.559,0.037,0.521
eeg_dataset_emotiv.csv,motor,10,813,"SVM-RBF (supervised, 100%)",0.534,0.067,0.489
eeg_dataset_emotiv.csv,motor,10,813,Random Forest,0.531,0.088,0.492
eeg_dataset_emotiv.csv,motor,10,813,MLP (64),0.525,0.063,0.505
eeg_dataset_emotiv.csv,motor,10,813,Self-Training SVM-RBF (20% labels),0.52,0.049,0.488
eeg_dataset_emotiv.csv,motor,10,813,Decision Tree,0.515,0.083,0.506
eeg_dataset_emotiv.csv,motor,10,813,XGBoost,0.497,0.038,0.465
